date,account,category,amount,currency,converted amount,currency,description
14/01/2015,ПриватБанк,Электроника,-204,UAH,-204,UAH,
14/01/2015,Наличные,Транспорт,-40,UAH,-40,UAH,
14/01/2015,Наличные,To 'ПриватБанк',-500,UAH,-500,UAH,
14/01/2015,ПриватБанк,From 'Наличные',500,UAH,500,UAH,
14/01/2015,Наличные,Еда,-7,UAH,-7,UAH,Орбит
14/01/2015,Наличные,Другое,-2,UAH,-2,UAH,
14/01/2015,Наличные,Другое,-85,UAH,-85,UAH,
16/01/2015,Наличные,Другое,-10,UAH,-10,UAH,
16/01/2015,Наличные,Еда,-50,UAH,-50,UAH,
17/01/2015,Наличные,Еда,-50,UAH,-50,UAH,
17/01/2015,Наличные,Еда,-7,UAH,-7,UAH,Орбит
17/01/2015,Гривна,To 'Наличные',-700,UAH,-700,UAH,
17/01/2015,Наличные,From 'Гривна',700,UAH,700,UAH,
18/01/2015,Наличные,Кафе,-39,UAH,-39,UAH,
18/01/2015,Наличные,Транспорт,-6,UAH,-6,UAH,
19/01/2015,Наличные,Жилье,-560,UAH,-560,UAH,
19/01/2015,Наличные,Такси,-60,UAH,-60,UAH,
19/01/2015,Гривна,Подарки,-500,UAH,-500,UAH,
20/01/2015,Наличные,Транспорт,-2,UAH,-2,UAH,
20/01/2015,Наличные,Транспорт,-21,UAH,-21,UAH,
20/01/2015,Наличные,Кафе,-33,UAH,-33,UAH,
21/01/2015,ПриватБанк,Другое,-150,UAH,-150,UAH,Кубик Рубик
21/01/2015,Наличные,Транспорт,-10,UAH,-10,UAH,
21/01/2015,Гривна,Зарплата,5 000,UAH,5 000,UAH,
21/01/2015,Гривна,Другое,-1 500,UAH,-1 500,UAH,Катя
21/01/2015,Наличные,Жилье,-25,UAH,-25,UAH,
21/01/2015,Наличные,Бонус,200,UAH,200,UAH,
21/01/2015,Гривна,Бонус,200,UAH,200,UAH,
22/01/2015,Наличные,Транспорт,-20,UAH,-20,UAH,
22/01/2015,Наличные,Еда,-7,UAH,-7,UAH,Орбит
23/01/2015,ПриватБанк,Связь,-41,UAH,-41,UAH,
23/01/2015,ПриватБанк,Другое,-50,UAH,-50,UAH,
24/01/2015,Гривна,Жилье,-2 500,UAH,-2 500,UAH,
24/01/2015,Гривна,To 'Наличные',-200,UAH,-200,UAH,
24/01/2015,Наличные,From 'Гривна',200,UAH,200,UAH,
24/01/2015,Наличные,Кафе,-96,UAH,-96,UAH,
24/01/2015,Наличные,Еда,-11,UAH,-11,UAH,
24/01/2015,Наличные,Бонус,50,UAH,50,UAH,
25/01/2015,Отдых,Сбережения,500,UAH,500,UAH,
25/01/2015,Отдых,Сбережения,500,UAH,500,UAH,Катя
25/01/2015,Наличные,Транспорт,-70,UAH,-70,UAH,
25/01/2015,Наличные,Еда,-6,UAH,-6,UAH,
26/01/2015,ПриватБанк,Бонус,500,UAH,500,UAH,
26/01/2015,Наличные,Подарки,-25,UAH,-25,UAH,
26/01/2015,ПриватБанк,Интернет,-65,UAH,-65,UAH,
27/01/2015,Наличные,Другое,-210,UAH,-210,UAH,Документы квартира
27/01/2015,ПриватБанк,Связь,-51,UAH,-51,UAH,
